st_code,st_date,st_open,st_close,st_volume
FB,2019-01-17,145.67,147.01,15787900
FB,2019-01-18,148.45,148.73,31029600
FB,2019-01-22,147.9,146.29,22378700
FB,2019-01-23,146.99,143.04,20098400
FB,2019-01-24,143.38,144.56,20955500
FB,2019-01-25,146.2,147.71,22237200
FB,2019-01-28,146.76,146.19,15508500
FB,2019-01-29,146.8,142.93,17632100
FB,2019-01-30,144.95,149.11,44613200
FB,2019-01-31,164.16,165.24,77233600
FB,2019-02-01,164.4,164.27,30806500
FB,2019-02-04,164.26,167.78,20036000
FB,2019-02-05,167.68,169.67,22557000
FB,2019-02-06,169.71,169.01,13281200
FB,2019-02-07,166.74,164.93,17517600
FB,2019-02-08,163.04,165.87,12561400
FB,2019-02-11,166.44,164.35,12811200
FB,2019-02-12,165.41,163.6,16292300
FB,2019-02-13,163.94,162.64,14205100
FB,2019-02-14,161.77,162.52,12755200
FB,2019-02-15,163.08,161.09,15504400
FB,2019-02-19,159.1,160.88,14345400
FB,2019-02-20,160.84,161.14,11770700
FB,2019-02-21,160.52,158.65,15607800
FB,2019-02-22,159.18,160.48,15858500
FB,2019-02-25,161.65,163.19,18737100
FB,2019-02-26,162.91,162.7,13784100
FB,2019-02-27,161.48,161.39,12697500
FB,2019-02-28,160.96,160.04,11114200
FB,2019-03-01,161.18,160.87,11097800
FB,2019-03-04,162.47,165.91,18894700
FB,2019-03-05,165.91,169.77,28187900
FB,2019-03-06,171.39,171.01,21531700
FB,2019-03-07,170.01,167.66,18306500
FB,2019-03-08,164.75,168.12,13184800
FB,2019-03-11,170.11,170.57,18884000
FB,2019-03-12,170.59,170.42,12155300
FB,2019-03-13,170.82,171.86,11973300
FB,2019-03-14,168.28,168.69,18037400
FB,2019-03-15,165.7,164.54,37135400
FB,2019-03-18,162.15,159.07,37524200
FB,2019-03-19,160.07,160.16,25611500
FB,2019-03-20,160.09,164.0,20211500
FB,2019-03-21,163.45,164.63,16223000
FB,2019-03-22,164.21,162.91,16389200
FB,2019-03-25,161.58,164.84,12631200
FB,2019-03-26,165.89,166.22,15437900
FB,2019-03-27,166.39,164.43,10620300
FB,2019-03-28,163.14,164.11,10443000
FB,2019-03-29,164.94,165.24,13455500
FB,2019-04-01,166.37,167.23,10381500
FB,2019-04-02,168.66,172.68,23946500
FB,2019-04-03,172.98,172.03,27391100
FB,2019-04-04,174.49,174.49,17847700
FB,2019-04-05,175.34,174.19,9594100
FB,2019-04-08,173.68,173.41,7297400
FB,2019-04-09,174.09,176.03,19751000
FB,2019-04-10,176.63,176.27,11701500
FB,2019-04-11,176.69,175.96,8071000
FB,2019-04-12,176.45,177.54,12329800
FB,2019-04-15,176.95,178.09,10834800
FB,2019-04-16,177.44,177.31,11215200
FB,2019-04-17,178.04,177.22,9973700
FB,2019-04-18,177.24,176.73,11655600
FB,2019-04-22,176.7,179.86,13389900
FB,2019-04-23,181.15,182.18,19954800
FB,2019-04-24,182.88,180.99,37289900
FB,2019-04-25,195.27,191.58,54148800
FB,2019-04-26,190.82,189.82,22075000
FB,2019-04-29,189.29,193.08,19641300
FB,2019-04-30,192.5,191.72,23494700
FB,2019-05-01,193.08,191.35,15996600
FB,2019-05-02,191.32,190.85,13209500
FB,2019-05-03,192.69,193.77,14575400
FB,2019-05-06,189.58,192.19,13994900
FB,2019-05-07,190.86,188.12,16253000
FB,2019-05-08,187.74,187.89,12505700
FB,2019-05-09,185.57,187.01,12967000
FB,2019-05-10,186.61,186.7,12578500
FB,2019-05-13,181.9,179.96,16833300
FB,2019-05-14,180.93,179.16,17628100
FB,2019-05-15,178.85,184.65,16746900
FB,2019-05-16,183.44,185.36,12953100
FB,2019-05-17,183.23,183.69,10485400
FB,2019-05-20,180.3,181.13,10352000
FB,2019-05-21,182.96,183.21,7502800
FB,2019-05-22,183.12,183.71,9213800
FB,2019-05-23,180.83,179.3,12768800
FB,2019-05-24,180.74,179.48,8807700
FB,2019-05-28,179.96,182.71,14843300
FB,2019-05-29,181.9,180.6,12797700
FB,2019-05-30,181.49,181.42,8581500
FB,2019-05-31,178.71,175.93,15226500
FB,2019-06-03,173.48,162.72,56059600
FB,2019-06-04,162.28,166.04,46044300
FB,2019-06-05,166.02,166.71,19758300
FB,2019-06-06,166.83,166.86,12446400
FB,2019-06-07,168.69,171.84,16917300
FB,2019-06-10,173.23,173.3,14767900
FB,2019-06-11,176.93,176.55,15266600
FB,2019-06-12,176.83,173.52,17699800
FB,2019-06-13,174.0,175.93,12253600
FB,2019-06-14,178.94,179.75,16773700
FB,2019-06-17,183.4,187.36,29459900
FB,2019-06-18,192.31,186.83,37571400
FB,2019-06-19,185.37,185.85,21417100
FB,2019-06-20,189.29,187.88,14635700
FB,2019-06-21,187.11,189.48,22751200
FB,2019-06-24,190.74,190.92,15509000
FB,2019-06-25,191.2,187.2,16750300
FB,2019-06-26,187.89,186.03,12808600
FB,2019-06-27,188.23,187.85,11159000
FB,2019-06-28,188.89,191.32,16378900
FB,2019-07-01,193.51,191.32,14181800
FB,2019-07-02,191.32,193.3,9050000
FB,2019-07-03,192.47,195.48,10246100
FB,2019-07-05,194.47,194.69,11164100
FB,2019-07-08,193.49,194.06,9723900
FB,2019-07-09,193.27,197.48,14698600
FB,2019-07-10,198.26,200.97,20571700
FB,2019-07-11,201.49,199.48,13678500
FB,2019-07-12,197.94,203.09,15366300
FB,2019-07-15,202.47,202.13,16030300
FB,2019-07-16,202.12,202.07,12132700
FB,2019-07-17,202.4,200.04,12083700
FB,2019-07-18,198.41,199.03,11937900
FB,2019-07-19,200.42,196.63,12098300
FB,2019-07-22,198.17,200.56,13589000
FB,2019-07-23,201.07,200.6,14583700
FB,2019-07-24,195.91,202.88,32532500
FB,2019-07-25,204.9,198.96,39889900
FB,2019-07-26,198.45,198.01,24434000
FB,2019-07-29,197.27,194.23,16530800
FB,2019-07-30,193.69,195.32,11903600
FB,2019-07-31,195.24,192.54,14593500
FB,2019-08-01,192.48,191.05,17777000
FB,2019-08-02,189.44,187.37,15297000
FB,2019-08-05,183.08,180.15,23086700
FB,2019-08-06,182.09,182.9,18035700
FB,2019-08-07,182.0,183.54,15833200
FB,2019-08-08,185.0,188.5,14828900
FB,2019-08-09,188.35,186.21,11058800
FB,2019-08-12,185.22,183.76,10930900
