st_code,st_date,st_open,st_close,st_volume
GOOGL,2019-02-08,54.74,55.12,21766000
GOOGL,2019-02-11,55.19,55.11,18498000
GOOGL,2019-02-12,55.55,56.38,35036000
GOOGL,2019-02-13,56.65,56.43,28042000
GOOGL,2019-02-14,56.25,56.46,21106000
GOOGL,2019-02-15,56.97,55.98,27826000
GOOGL,2019-02-19,55.83,56.33,21980000
GOOGL,2019-02-20,56.44,56.03,24090000
GOOGL,2019-02-21,55.94,55.21,33272000
GOOGL,2019-02-22,55.49,55.83,29436000
GOOGL,2019-02-25,56.1,55.87,26208000
GOOGL,2019-02-26,55.72,56.1,35026000
GOOGL,2019-02-27,55.7,56.14,22092000
GOOGL,2019-02-28,55.95,56.33,27422000
GOOGL,2019-03-01,56.55,57.43,34086000
GOOGL,2019-03-04,57.73,57.67,35490000
GOOGL,2019-03-05,57.8,58.46,40094000
GOOGL,2019-03-06,58.59,58.25,23602000
GOOGL,2019-03-07,58.03,57.54,30086000
GOOGL,2019-03-08,56.69,57.5,23694000
GOOGL,2019-03-11,57.6,58.96,30032000
GOOGL,2019-03-12,59.12,59.86,42220000
GOOGL,2019-03-13,60.3,59.95,25888000
GOOGL,2019-03-14,59.95,59.63,27302000
GOOGL,2019-03-15,59.9,59.51,51886000
GOOGL,2019-03-18,59.48,59.43,24442000
GOOGL,2019-03-19,59.59,60.12,29788000
GOOGL,2019-03-20,60.07,61.32,41508000
GOOGL,2019-03-21,61.0,61.81,28150000
GOOGL,2019-03-22,61.44,60.38,34422000
GOOGL,2019-03-25,59.98,59.87,27576000
GOOGL,2019-03-26,60.26,59.49,30752000
GOOGL,2019-03-27,59.6,58.9,29428000
GOOGL,2019-03-28,58.78,58.61,22402000
GOOGL,2019-03-29,59.01,58.84,30890000
GOOGL,2019-04-01,59.38,59.95,27706000
GOOGL,2019-04-02,60.0,60.28,18288000
GOOGL,2019-04-03,60.63,60.54,22180000
GOOGL,2019-04-04,60.56,60.97,21022000
GOOGL,2019-04-05,60.97,60.57,20012000
GOOGL,2019-04-08,60.56,60.41,21750000
GOOGL,2019-04-09,60.09,60.13,19668000
GOOGL,2019-04-10,60.25,60.32,15510000
GOOGL,2019-04-11,60.44,60.48,16998000
GOOGL,2019-04-12,60.78,61.14,24312000
GOOGL,2019-04-15,61.2,61.33,23796000
GOOGL,2019-04-16,61.5,61.6,22622000
GOOGL,2019-04-17,61.85,62.01,30366000
GOOGL,2019-04-18,62.25,62.07,24750000
GOOGL,2019-04-22,61.83,62.69,19084000
GOOGL,2019-04-23,62.83,63.53,31868000
GOOGL,2019-04-24,63.53,63.0,23396000
GOOGL,2019-04-25,63.51,63.37,31344000
GOOGL,2019-04-26,63.67,63.87,27228000
GOOGL,2019-04-29,64.03,64.81,72368000
GOOGL,2019-04-30,59.53,59.95,133178000
GOOGL,2019-05-01,59.88,58.67,74340000
GOOGL,2019-05-02,58.63,58.33,45098000
GOOGL,2019-05-03,58.87,59.48,41588000
GOOGL,2019-05-06,58.6,59.67,31774000
GOOGL,2019-05-07,59.29,58.94,36604000
GOOGL,2019-05-08,58.86,58.54,25520000
GOOGL,2019-05-09,58.13,58.4,29556000
GOOGL,2019-05-10,58.44,58.38,31650000
GOOGL,2019-05-13,57.26,56.83,45626000
GOOGL,2019-05-14,57.12,56.24,40392000
GOOGL,2019-05-15,56.13,58.54,59302000
GOOGL,2019-05-16,58.59,59.22,35308000
GOOGL,2019-05-17,58.79,58.44,25362000
GOOGL,2019-05-20,57.65,57.23,30602000
GOOGL,2019-05-21,57.72,57.72,20562000
GOOGL,2019-05-22,57.56,57.79,18826000
GOOGL,2019-05-23,57.3,57.27,25214000
GOOGL,2019-05-24,57.6,56.93,18554000
GOOGL,2019-05-28,57.07,56.98,20948000
GOOGL,2019-05-29,56.63,56.0,36230000
GOOGL,2019-05-30,56.01,56.07,18088000
GOOGL,2019-05-31,55.28,55.33,31582000
GOOGL,2019-06-03,53.35,51.94,96890000
GOOGL,2019-06-04,52.22,52.72,60512000
GOOGL,2019-06-05,52.75,52.23,46988000
GOOGL,2019-06-06,52.31,52.39,29020000
GOOGL,2019-06-07,52.71,53.42,43828000
GOOGL,2019-06-10,53.85,54.14,28510000
GOOGL,2019-06-11,54.85,54.05,33508000
GOOGL,2019-06-12,54.0,53.96,23670000
GOOGL,2019-06-13,54.24,54.55,20814000
GOOGL,2019-06-14,54.49,54.31,24582000
GOOGL,2019-06-17,54.46,54.69,19770000
GOOGL,2019-06-18,55.58,55.26,34526000
GOOGL,2019-06-19,55.36,55.23,26714000
GOOGL,2019-06-20,56.08,55.66,24018000
GOOGL,2019-06-21,55.49,56.27,50774000
GOOGL,2019-06-24,56.0,55.83,24236000
GOOGL,2019-06-25,55.75,54.38,31644000
GOOGL,2019-06-26,54.55,54.02,34698000
GOOGL,2019-06-27,54.34,53.83,24078000
GOOGL,2019-06-28,53.86,54.14,33672000
GOOGL,2019-07-01,55.05,55.0,29196000
GOOGL,2019-07-02,55.24,55.63,20630000
GOOGL,2019-07-03,55.92,56.15,20154000
GOOGL,2019-07-05,55.97,56.63,29794000
GOOGL,2019-07-08,56.29,55.84,29888000
GOOGL,2019-07-09,55.52,56.21,29472000
GOOGL,2019-07-10,56.62,57.05,30710000
GOOGL,2019-07-11,57.31,57.2,26004000
GOOGL,2019-07-12,57.15,57.27,21878000
GOOGL,2019-07-15,57.27,57.53,21164000
GOOGL,2019-07-16,57.34,57.67,25352000
GOOGL,2019-07-17,57.55,57.34,19538000
GOOGL,2019-07-18,57.1,57.36,25450000
GOOGL,2019-07-19,57.47,56.58,23184000
GOOGL,2019-07-22,56.77,56.96,28914000
GOOGL,2019-07-23,57.17,57.4,20648000
GOOGL,2019-07-24,56.63,56.99,27192000
GOOGL,2019-07-25,56.95,56.8,54762000
GOOGL,2019-07-26,61.4,62.26,121216000
GOOGL,2019-07-29,62.12,62.09,41382000
GOOGL,2019-07-30,61.35,61.4,28616000
GOOGL,2019-07-31,61.24,60.91,39960000
GOOGL,2019-08-01,60.88,60.59,35426000
GOOGL,2019-08-02,60.15,59.82,34910000
GOOGL,2019-08-05,58.65,57.74,47840000
GOOGL,2019-08-06,58.28,58.55,36014000
GOOGL,2019-08-07,57.89,58.8,30686000
GOOGL,2019-08-08,59.32,60.31,30116000
GOOGL,2019-08-09,60.0,59.44,20418000
GOOGL,2019-08-12,59.0,58.72,22064000
