st_code,st_date,st_open,st_close,st_volume
NFLX,2019-09-05,28.53,29.33,89668000
NFLX,2019-09-06,29.33,29.02,51666000
NFLX,2019-09-09,29.48,29.43,82327000
NFLX,2019-09-10,29.12,28.8,123202000
NFLX,2019-09-11,28.57,28.83,74059000
NFLX,2019-09-12,28.81,28.89,50109000
NFLX,2019-09-13,29.06,29.42,65831000
NFLX,2019-09-16,29.42,29.43,53074000
NFLX,2019-09-17,29.45,29.86,47771000
NFLX,2019-09-18,29.5,29.16,78111000
NFLX,2019-09-19,29.16,28.66,84613000
NFLX,2019-09-20,28.03,27.08,238328000
NFLX,2019-09-23,26.83,26.59,134786000
NFLX,2019-09-24,26.25,25.46,163382000
NFLX,2019-09-25,25.57,26.48,116438000
NFLX,2019-09-26,26.64,26.33,76840000
NFLX,2019-09-27,26.62,26.31,73283000
NFLX,2019-09-30,26.4,26.76,67272000
NFLX,2019-10-01,26.74,26.96,86503000
NFLX,2019-10-02,26.36,26.8,76591000
NFLX,2019-10-03,26.78,26.82,89510000
NFLX,2019-10-04,26.82,27.28,98904000
NFLX,2019-10-07,27.2,27.45,65256000
NFLX,2019-10-08,27.3,27.07,62764000
NFLX,2019-10-09,27.0,26.75,67944000
NFLX,2019-10-10,26.6,28.05,108091000
NFLX,2019-10-11,28.48,28.29,87861000
NFLX,2019-10-14,28.39,28.55,55132000
NFLX,2019-10-15,28.38,28.42,76856000
NFLX,2019-10-16,28.31,28.63,161759000
NFLX,2019-10-17,30.45,29.33,382589000
